,revision_id,article_quality,article_title,country,population,region
4022,1238643436,Start,'Abd al-Razzaq al-Hasani,Iraq,45.5,WESTERN ASIA
4239,1249160149,C,8th National Assembly of Slovenia,Slovenia,2.1,SOUTHERN EUROPE
6440,1187003494,Start,A. J. R. de Soysa,Sri Lanka,22.7,SOUTH ASIA
3648,1156355955,Start,A. R. F. Webber,Guyana,0.8,SOUTH AMERICA
2945,1213828687,Stub,A. Wahab,Indonesia,278.7,SOUTHEAST ASIA
777,1245402550,Stub,AKM Fazlul Haque (Jatiya Party politician),Bangladesh,173.5,SOUTH ASIA
764,1245380545,Start,AKM Fazlul Kabir Chowdhury,Bangladesh,173.5,SOUTH ASIA
753,1246694478,Stub,AKM Hafizuddin,Bangladesh,173.5,SOUTH ASIA
4472,1243509983,Start,Abai Tasbolatov,Kazakhstan,19.9,CENTRAL ASIA
1943,1236990005,C,Abakar Sabone,Central African Republic,6.2,MIDDLE AFRICA
4927,1249027291,C,Abang Muhammad Salahuddin,Malaysia,33.4,SOUTHEAST ASIA
107,1240801210,Start,Abas Ermenji,Albania,2.7,SOUTHERN EUROPE
4598,1246061978,Start,Abass Sheikh Mohamed,Kenya,55.1,EASTERN AFRICA
5847,1214592995,Start,Abba Bina,Papua New Guinea,9.5,OCEANIA
5606,1248451106,C,Abba Kyari,Nigeria,223.8,WESTERN AFRICA
3921,1228962136,C,Abbas Ali Akhtari,Iran,89.2,SOUTH ASIA
6080,1187261448,Stub,Abbas Gueye,Senegal,18.3,WESTERN AFRICA
4039,1033783405,Stub,Abbas Mahdi,Iraq,45.5,WESTERN ASIA
5813,1247336761,Start,Abbas Zaki,Palestinian Territory,5.5,WESTERN ASIA
1961,1144389013,C,Abbo Nassour,Chad,18.3,MIDDLE AFRICA
7000,1144463695,Start,Abd Al-Rahman Ali Al-Jifri,Yemen,34.4,WESTERN ASIA
3990,1244698603,Start,Abd al-Aziz al-Badri,Iraq,45.5,WESTERN ASIA
3991,1247972556,C,Abd al-Ilah,Iraq,45.5,WESTERN ASIA
4786,1193082133,Stub,Abd al-Mawla Naqi,Libya,6.9,NORTHERN AFRICA
455,1063356756,Start,Abd al-Razzaq al-Dandashi,Syria,23.2,WESTERN ASIA
5801,1189278545,Start,Abd al-Sattar Qasim,Palestinian Territory,5.5,WESTERN ASIA
3992,1171600163,Stub,Abd-Allah ibn Aamir Hadhrami,Iraq,45.5,WESTERN ASIA
4770,1245381256,Stub,Abd-Rabbo al-Barassi,Libya,6.9,NORTHERN AFRICA
2677,1242619513,Stub,Abdallah Barkat Ibrahim,Djibouti,1.1,EASTERN AFRICA
2139,1043132737,Stub,Abdallah Said Sarouma,Comoros,0.9,EASTERN AFRICA
6623,1237192582,Stub,Abdallah Ulega,Tanzania,67.4,EASTERN AFRICA
6421,1193384074,GA,Abdallahi ibn Muhammad,Sudan,48.1,NORTHERN AFRICA
6391,1215349032,Start,Abdel Fattah al-Maghrabi,Sudan,48.1,NORTHERN AFRICA
5799,1197647604,C,Abdel Hafiz Nofal,Palestinian Territory,5.5,WESTERN ASIA
6392,1249045451,GA,Abdel Halim Mohamed,Sudan,48.1,NORTHERN AFRICA
4790,1243356338,Start,Abdel Wahab Qaid,Libya,6.9,NORTHERN AFRICA
5355,1168135452,Start,Abdelaziz El Omari,Morocco,37.0,NORTHERN AFRICA
2988,1221423218,Stub,Abdelfattah al-Banna,Egypt,105.2,NORTHERN AFRICA
5329,1243833677,B,Abdelghani Bousta,Morocco,37.0,NORTHERN AFRICA
5330,1245185566,Stub,Abdelhadi Boutaleb,Morocco,37.0,NORTHERN AFRICA
5343,1243832532,Stub,Abdelhafid Kadiri,Morocco,37.0,NORTHERN AFRICA
244,1218004839,Stub,Abdelhak Saihi,Algeria,46.8,NORTHERN AFRICA
189,1218173615,Start,Abdelhakim Belabed,Algeria,46.8,NORTHERN AFRICA
181,1246262625,Start,Abdelkader Zoukh,Algeria,46.8,NORTHERN AFRICA
198,1245801726,Stub,Abdelkrim Benmbarek,Algeria,46.8,NORTHERN AFRICA
5351,1245329075,Stub,Abdelkrim Motii,Morocco,37.0,NORTHERN AFRICA
5344,1246403569,Start,Abdellah Kadiri,Morocco,37.0,NORTHERN AFRICA
5341,1246185063,Start,Abdellatif Jouahri,Morocco,37.0,NORTHERN AFRICA
5357,1244051321,Start,Abdellatif Ouahbi,Morocco,37.0,NORTHERN AFRICA
5367,1244051612,Stub,Abdellatif Zeroual,Morocco,37.0,NORTHERN AFRICA
5317,1244051993,Start,Abdelouahed Belkeziz,Morocco,37.0,NORTHERN AFRICA
5757,1244326603,Stub,Abdelrahman al-Dajani,Palestinian Territory,5.5,WESTERN ASIA
5359,1244843050,Stub,Abdelwahed Radi,Morocco,37.0,NORTHERN AFRICA
247,1212579707,Stub,Abderezak Sebgag,Algeria,46.8,NORTHERN AFRICA
248,1218530483,Stub,Abderrachid Tabbi,Algeria,46.8,NORTHERN AFRICA
5326,1246010673,Start,Abderrahim Bouabid,Morocco,37.0,NORTHERN AFRICA
5312,1249089950,Stub,Abderrahmane Amalou,Morocco,37.0,NORTHERN AFRICA
213,1220757834,Start,Abderrahmane Meziane Chérif,Algeria,46.8,NORTHERN AFRICA
206,1203569345,Stub,Abdeslam Bouchouareb,Algeria,46.8,NORTHERN AFRICA
5314,1245185308,Stub,Abdessamad Archane,Morocco,37.0,NORTHERN AFRICA
2700,1186251111,Start,Abdi Hassan Buni,Somalia,18.1,EASTERN AFRICA
2777,1050666572,Stub,Abdiaziz Hussein Hassan,Somalia,18.1,EASTERN AFRICA
2737,1236505010,Stub,Abdihakim Luqman,Somalia,18.1,EASTERN AFRICA
2729,1211653922,Stub,Abdihamid Sheikh Abdisalam Isse,Somalia,18.1,EASTERN AFRICA
4536,1246061449,Start,Abdikadir Aden,Kenya,55.1,EASTERN AFRICA
4537,1246061451,Stub,Abdikadir Ore Ahmed,Kenya,55.1,EASTERN AFRICA
2773,1211158919,Stub,Abdikarim Adan Haji Diriye,Somalia,18.1,EASTERN AFRICA
2702,1177315930,Stub,Abdikarim Dhaaye,Somalia,18.1,EASTERN AFRICA
2701,1240850209,Stub,Abdikarin Dahir,Somalia,18.1,EASTERN AFRICA
2765,1171760173,Stub,Abdilahi Husein Iman Darawal,Somalia,18.1,EASTERN AFRICA
4534,1241910337,Start,Abdilatif Abdalla,Kenya,55.1,EASTERN AFRICA
2686,1108538185,Stub,Abdillahi Fadal Iman,Somalia,18.1,EASTERN AFRICA
2748,1249795421,Stub,Abdilqadir Ali Omar,Somalia,18.1,EASTERN AFRICA
2741,1048396818,Stub,Abdinur Sheikh Mohamed,Somalia,18.1,EASTERN AFRICA
2779,1249819942,Stub,Abdiqani Mohamoud Jidhe,Somalia,18.1,EASTERN AFRICA
2766,1189471410,Stub,Abdirahim Ali Ismail,Somalia,18.1,EASTERN AFRICA
2692,1024854466,Stub,Abdirahman Ahmed,Somalia,18.1,EASTERN AFRICA
2751,975462878,Stub,Abdirahman Dahir Osman,Somalia,18.1,EASTERN AFRICA
3056,1233387219,Start,Abdirahman Eid Daahir,Ethiopia,126.5,EASTERN AFRICA
2724,1223694493,Stub,Abdirahman Haji Aden Ibbi,Somalia,18.1,EASTERN AFRICA
2733,1202660894,Start,Abdirahman Janaqow,Somalia,18.1,EASTERN AFRICA
2734,1220585287,Start,Abdirizak Jurile,Somalia,18.1,EASTERN AFRICA
2129,1247353598,Stub,Abdou Soulé Elbak,Comoros,0.9,EASTERN AFRICA
6084,1167669897,Start,Abdoul Aziz Mbaye,Senegal,18.3,WESTERN AFRICA
3348,1233734473,Stub,Abdoulie Bojang,Gambia,2.8,WESTERN AFRICA
5724,1167401003,Stub,Abdoulkarim Goukoye,Niger,27.2,WESTERN AFRICA
4502,1244341302,Start,Abduhalim Nazarzoda,Tajikistan,10.2,CENTRAL ASIA
4086,1209227067,Stub,Abdul Aziz Bin Khalid Al-Ghanim,Qatar,2.7,WESTERN ASIA
868,1235267463,Start,Abdul Aziz Kurd,Pakistan,240.5,SOUTH ASIA
4890,1248516426,C,Abdul Aziz bin Husain,Malaysia,33.4,SOUTHEAST ASIA
11,1231655023,Stub,Abdul Baqi Turkistani,Afghanistan,42.4,SOUTH ASIA
823,1246543437,Start,Abdul Gani (soldier),Pakistan,240.5,SOUTH ASIA
838,1212854333,Stub,Abdul Ghafoor Khan Durrani,Pakistan,240.5,SOUTH ASIA
84,1136614520,Stub,Abdul Ghafor Zori,Afghanistan,42.4,SOUTH ASIA
25,1227026187,Stub,Abdul Ghani Ghani,Afghanistan,42.4,SOUTH ASIA
774,1237265302,Start,Abdul Halim Ghaznavi,Bangladesh,173.5,SOUTH ASIA
4774,1248662391,C,Abdul Hamid Dbeibeh,Libya,6.9,NORTHERN AFRICA
1518,1250026721,Stub,Abdul Hamid Sebba,Brazil,204.0,SOUTH AMERICA
51,1235405154,Stub,Abdul Karim Misaq,Afghanistan,42.4,SOUTH ASIA
4079,1247382115,Start,Abdul Karim Zaidan,Iraq,45.5,WESTERN ASIA
2898,1244188283,Stub,Abdul Latif Daeng Masikki,Indonesia,278.7,SOUTHEAST ASIA
4955,1249604493,Start,Abdul Majeed Mahir,Maldives,0.6,SOUTH ASIA
67,1225425205,Stub,Abdul Majid Samim,Afghanistan,42.4,SOUTH ASIA
2867,1185931368,Stub,Abdul Malik Fadjar,Indonesia,278.7,SOUTHEAST ASIA
746,1245374567,Stub,Abdul Motaleb,Bangladesh,173.5,SOUTH ASIA
450,1207792124,Stub,Abdul Qader Barmada,Syria,23.2,WESTERN ASIA
7005,1224446773,Start,Abdul Qader Qahtan,Yemen,34.4,WESTERN ASIA
4945,1248364678,C,Abdul Raheem Abdulla,Maldives,0.6,SOUTH ASIA
9,1226326055,Start,Abdul Rahim Ayoubi,Afghanistan,42.4,SOUTH ASIA
4085,1245069557,Start,Abdul Rahman bin Hamad Al Attiyah,Qatar,2.7,WESTERN ASIA
79,1243758857,GA,Abdul Salam Zaeef,Afghanistan,42.4,SOUTH ASIA
50,1145249317,Stub,Abdul Sattar Mirzakwal,Afghanistan,42.4,SOUTH ASIA
6995,1189134411,Start,Abdul Wahab Al-Dailami,Yemen,34.4,WESTERN ASIA
4662,1228860900,Stub,Abdul Wahab Al-Nafisi,Kuwait,4.4,WESTERN ASIA
2946,1228648982,C,Abdul Wahid (politician),Indonesia,278.7,SOUTHEAST ASIA
80,1126667481,Stub,Abdul Zahir (Konar Education Minister),Afghanistan,42.4,SOUTH ASIA
467,1208879636,C,Abdul-Aziz al-Khair,Syria,23.2,WESTERN ASIA
5761,1242435573,C,Abdul-Ghani Al-Karmi,Palestinian Territory,5.5,WESTERN ASIA
6422,1249045206,Stub,Abdul-Hamid Musa Kasha,Sudan,48.1,NORTHERN AFRICA
5164,1218644829,Start,Abdul-Kerim Edilov,Russia,146.9,EASTERN EUROPE
4406,1185116520,Stub,Abdul-Latif Arabiyat,Jordan,11.4,WESTERN ASIA
5477,1250092836,C,AbdulRahman AbdulRazaq,Nigeria,223.8,WESTERN AFRICA
1464,1229796197,Stub,Abdulah Mutapčić,Bosnia Herzegovina,3.4,SOUTHERN EUROPE
1465,1175001666,Start,Abdulah Nakaš,Bosnia Herzegovina,3.4,SOUTHERN EUROPE
2691,1062657842,Stub,Abdulahi Ahmed Afrah,Somalia,18.1,EASTERN AFRICA
4553,1246061568,Stub,Abdulaziz Farah,Kenya,55.1,EASTERN AFRICA
3034,1249127813,Start,Abdulaziz Nasser Al Shamsi,United Arab Emirates,9.5,WESTERN ASIA
2708,1127388256,C,Abdulcadir Gabeire Farah,Somalia,18.1,EASTERN AFRICA
4658,1177241162,C,Abdulghaphor Hajjieh,Kuwait,4.4,WESTERN ASIA
735,1195787872,Stub,Abdulhussain bin Ali Mirza,Bahrain,1.6,WESTERN ASIA
3048,1239319423,C,Abdulkadir Kebire,Eritrea,3.7,EASTERN AFRICA
5602,1249044878,Stub,Abdulkadir Kure,Nigeria,223.8,WESTERN AFRICA
2754,1249819962,Stub,Abdulkadir Sheikh Sakhawudeen,Somalia,18.1,EASTERN AFRICA
704,1223700072,Start,Abdulla Adel Fakhro,Bahrain,1.6,WESTERN ASIA
742,1219928150,Stub,Abdulla Hassan Saif,Bahrain,1.6,WESTERN ASIA
4954,1244494984,Start,Abdulla Jihad,Maldives,0.6,SOUTH ASIA
4958,1230650570,Start,Abdulla Maseeh Mohamed,Maldives,0.6,SOUTH ASIA
4967,1244783683,C,Abdulla Shahid,Maldives,0.6,SOUTH ASIA
5751,1241135391,Start,Abdullah Al Saidi,Oman,5.0,WESTERN ASIA
4670,1096143240,Stub,Abdullah Al-Nibari,Kuwait,4.4,WESTERN ASIA
4877,1244848097,Start,Abdullah CD,Malaysia,33.4,SOUTHEAST ASIA
6617,1167472782,Start,Abdullah Mwinyi,Tanzania,67.4,EASTERN AFRICA
4787,1245381314,Start,Abdullah Naker,Libya,6.9,NORTHERN AFRICA
6980,1248329006,Start,Abdullah Noman,Yemen,34.4,WESTERN ASIA
3016,1198632236,Start,Abdullah Omran Taryam,United Arab Emirates,9.5,WESTERN ASIA
5804,1248662982,GA,Abdullah Rimawi,Palestinian Territory,5.5,WESTERN ASIA
4784,1183544804,Stub,Abdullah al-Lafi,Libya,6.9,NORTHERN AFRICA
6061,1245670134,GA,Abdullah bin Faisal Al Saud (1831–1889),Saudi Arabia,36.9,WESTERN ASIA
724,1241499929,Start,Abdullah bin Hamad bin Isa Al Khalifa,Bahrain,1.6,WESTERN ASIA
